"PlotNumber","Unit","MoistureRegime","NutrientRegime"
"08-5026","ESSFwcw","2","A"
"08-5027","ESSFwc6","2","A"
"08-5028","ESSFwc6","3","B"
"08-5029","ICHmw4","3","B"
"08-5030","ICHmw4","5","D"
"08-5031","ESSFwc6","2","C"
"08-5032","ESSFwc5","5","D"
"08-5033","ESSFwc5","3","B"
"08-5034","ESSFwc5","4","D"
"08-5035","ESSFwcw","4","C"
"08-5036","ESSFwcp","1","B"
"08-5037","ESSFwcw","2","B"
"08-5038","ESSFwc4","2","C"
"08-5039","ESSFwc1","4","C"
"08-5040","ESSFwc1","5","C"
"08-5041","ESSFwc1","6","C"
"08-5042","ESSFwm2","2","B"
"08-5043","ESSFwm2","2","A"
"08-5044","ESSFwm2","3","C"
"08-5045","ESSFwm2","7","C"
"08-5046","ICHmw2","4","C"
"08-5047","ICHmw2","2","C"
"08-5048","ICHdw","3","C"
"08-5049","ESSFwc1","4","D"
"08-5050","ICHdw","3","B"
"08-5051","ICHdw1","6","C"
"08-5052","ICHxw","2","B"
"08-5053","PPdh2",,
"08-5054","IDFdm2",,
"08-5055","ICHxw","2","B"
"08-5056","ICHdw1","6","D"
"08-5057","ICHxw","2","B"
"08-5058","ICHxw","1","B"
"08-5059","ICHxw","1","A"
"08-5060","ICHdw1","1","A"
"08-5061","ICHxw","1","B"
"08-5062","ICHdw1","7","D"
"08-5063","ICHdw1","5","C"
"08-5064","IDFun","1","A"
"08-5065","ICHdw1","5","C"
"08-5066","ICHxw","5","D"
"08-5067","ICHxw","6","D"
"08-5068","ICHmk1","2","C"
"08-5069","ICHdw1","4","C"
"08-5070","IDFxh4","3","C"
"08-5071","IDFxh4","3","C"
"08-5072","ICHxw","5","C"
"08-5073","ICHxw","3","C"
"08-5074","ICHxw","4","B"
"08-5075","ICHxw","5","D"
"08-5076","ICHmw2","2","B"
"08-5077","ICHmw2","3","C"
"08-5078","ESSFwc1","4","C"
"08-5079","ESSFdc1","3","C"
"08-5080","ESSFdc1","5","D"
"08-5081","ESSFdw","3","B"
"08-5082","ESSFdw","5","D"
"08-5083","ICHmw2","4","B"
"08-5084","ICHdw1","5","D"
"08-5085","ESSFdw","4","C"
"08-5086","ESSFwc5","4","C"
"08-5087","ESSFwc5","2","C"
"08-5088","ESSFwc6","2","B"
"08-5089","ESSFwc5","6","D"
"08-5090","ICHdw1","2","B"
"08-5091","ICHdw1","2","B"
"08-5092","ESSFwc5","5","D"
"08-5093","ESSFwm2","5","C"
"08-5094","ESSFwm2","1","B"
"08-5095","ESSFwm2","2","B"
"08-5096","ESSFwm2","1","A"
"08-5097","ESSFwm2","5","C"
"08-5098","ESSFwm2","3","B"
"08-5099","ESSFwm2","4","B"
"08-5100","ESSFwcp","4","D"
"08-5101","ESSFwcw","3","B"
"08-5102","ESSFwcw","3","C"
"08-5103","ESSFwc4","4","B"
"08-5104","ESSFwc4","5","C"
"08-5105","ESSFwc4","5","D"
"08-5106","ESSFwc4","7","D"
"08-5107","ESSFwc4","7","B"
"08-5108","ESSFwc6","4","C"
"08-5109","ESSFwc6","2","B"
"08-5110","ESSFwcw","2","B"
"08-5111","ESSFwc6","1","B"
"08-5112","ESSFwc6","6","D"
"08-5113","ESSFwc6","4","B"
"08-5114","ESSFwc6","3","B"
"08-5115","ESSFwcw","2","B"
"08-5116","ESSFwcw","4","C"
"08-5117","ESSFwcw","5","D"
"08-5118","ESSFwc6","2","B"
"08-5119","ESSFwc6","4","B"
"08-5120","ESSFwc6","4","B"
"08-5121","ESSFwc5","4","C"
"08-5122","ESSFwc5","5","D"
"08-5123","ESSFwc1","3","B"
"08-5124","ESSFwc1","6","D"
"08-5125","ICHmw2","2","B"
"08-5126","ESSFwc6","4","C"
"08-5127","ESSFwc6","6","C"
"08-5128","ICHmw4","7","D"
"08-5129","ESSFwc5","4","C"
"08-5130","ESSFwc5","5","D"
"08-5131","ICHmw4","4","C"
"08-5132","ICHmw4","4","C"
"08-5133","ICHdw1","2","C"
"08-5139","ESSFwm2","4","D"
"08-5140","ESSFwm2","3","B"
"08-5141","ESSFwm2","5","C"
"08-5142","ESSFwm2","3","C"
"08-5143","ESSFwcw","3","B"
"08-5144","ESSFwcw","4","C"
"08-5145","ESSFwc4","4","C"
"08-5146","ESSFwc4","4","C"
"08-5147","ESSFdmw","2","B"
"08-5148","ESSFdm","5","C"
"08-5149","ESSFdm","4","B"
"08-5150","ESSFdm","5","D"
"08-5151","ESSFdm","4","B"
"08-5152","ESSFwcw","2","B"
"08-5153","ESSFwcw","4","C"
"08-5154","ESSFwc6","4","C"
"08-5155","ESSFwc6","3","B"
"08-5156","ESSFwc6","5","D"
"08-5157","ESSFwc6","5","C"
"08-5158","ESSFwc1","1","B"
"08-5159","ESSFdc1","5","C"
"08-5160","ESSFdc1","3","B"
"08-5161","ESSFdw","3","C"
"08-5162","ESSFdw","7","D"
"08-5163","ESSFdw","4","C"
"08-5164","ESSFdw","0","A"
"08-5165","ESSFdw","2","B"
"08-5166","ESSFdw","6","D"
"08-5167","ESSFdw","3","B"
"08-5168","ICHmw2","1","B"
"08-5169","ESSFwc1","3","B"
"08-5172","ICHdw","4","C"
"08-5173","ICHdw","6","D"
"08-5176","ICHmw2","1","A"
"08-5177","ESSFwc1","5","D"
"08-5178","ICHmw2","2","B"
"08-5179","ESSFwcw","3","C"
"08-5180","ESSFwc2","3","C"
"08-5181","ESSFwc2","4","C"
"08-5182","ESSFwc2","4","C"
"08-5183","ESSFwc2","5","D"
"08-5184","ESSFwc2","2","B"
"08-5185","ESSFdc1","2","B"
"08-5186","ESSFdw","4","C"
"08-5187","ESSFdw","6","D"
"08-5188","ICHdw2","6","D"
"08-5189","ESSFdcw","3","C"
"08-5190","ESSFdc1","4","D"
"08-5191","ESSFdc1","5","D"
"08-5192","ESSFdw","5","D"
"08-5193","ESSFdc1","6","D"
"08-5194","ICHmw","5","C"
"08-5195","ICHmw","5","D"
"08-5196","ICHmk1","3","B"
"08-5197","ICHmk1","4","C"
"08-5198","ICHmk1","4","D"
"08-5199","ESSF","3","C"
"08-5200","PPdh1","1","B"
"08-5302","SBSdk","4","C"
"08-5303","ESSFwv","3","C"
"08-5304","ESSFmv1","4","C"
"08-5305","ESSFwv","3","C"
"08-5306","ESSFmc","5","C"
"08-5307","ESSFmc","4","C"
"08-5308","SBSmc2","4","C"
"08-5309","ESSFmc","3","B"
"08-5310","ESSFmc","2","B"
"08-5311","ESSFmc","5","D"
"08-5312","ESSFmcu","6","D"
"08-5313","ESSFmc","4","D"
"08-5314","SBSmc2","6","C"
"08-5315","ESSFmc","4","C"
"08-5316","SBSmc2","5","D"
"08-5317","ESSFmkp","3","B"
"08-5318","ESSFwvp","8","E"
"08-5319","ESSFwv","4","C"
"08-5320","ESSFwv","4","C"
"08-5321","SBSmc2","5","D"
"08-5322","ESSFmcw","4","C"
"08-5323","ESSFmc","4","C"
"08-5324","ESSFwv","5","D"
"08-5328","ESSFmc","4","C"
"08-5329","ESSFmc","4","C"
"08-5330","MHmm2","3","C"
"08-5331","MHmm2","7","E"
"08-5332","ESSFmcu","4","C"
"08-5333","ESSFmcu","6","D"
"08-5334","ESSFmc","4","C"
"08-5335","ESSFwv","4","C"
"08-5336","SBSmc2","5","D"
"08-5337","ESSFmc","4","D"
"08-5338","SBSmc2","5","D"
"08-5339","SBSmc2","4","D"
"08-5340","ESSFwv","3","B"
"08-5341","ESSFmc","2","B"
"08-5342","ESSFmc","4","D"
"08-5344","ESSFmcp","5","D"
"08-5346","ESSFwv","4","C"
"08-5347","ESSFwv","4","C"
"08-5348","MHmm2","2","B"
"08-5349","SBSmc2","4","C"
"08-5350","ESSFwv","3","C"
"08-5351","ESSFmc","4","C"
"08-5352","SBSmc2","4","C"
"08-5353","ESSFmc","5","D"
"08-5354","ICHmc2","4","C"
"08-5355","ESSFmk","2","B"
"08-5356","MHmm2","5","C"
"08-5357","SBSmc2","4","D"
"08-5358","SBSmc2","5","B"
"08-5359","ESSFmc","4","C"
"08-5360","SBSmc2","4","D"
"08-5361","SBSmc2","3","C"
"08-5362","ESSFmk","2","C"
"08-5363","ESSFmc","4","D"
"08-5364","ICHmc1","3","B"
"08-5365","SBSmc2","3","C"
"08-5366","ICHmc1","5","C"
"08-5367","ESSFwv","2","B"
"08-5368","SBSmc2","4","C"
"08-5369","ESSFwv","4","C"
"08-5370","SBSmc2","7","B"
"08-5371","ICHmc2","6","C"
"08-5372","SBSmc2","5","C"
"08-5373","ESSFmc","5","D"
"08-5374","ICHmc2","4","C"
"08-5375","SBSmc2","4","C"
"08-5378","SBSmc2","5","D"
"08-5379","ESSFwv","4","C"
"08-5382","MHmm2","3","B"
"08-5439","CWHxm1","3","B"
"08-5440","CDFmm","5","D"
"08-5441","CDFmm","3","B"
"08-5442","CDFmm","6","D"
"08-5443","CDFmm","1","A"
"08-5462","CWHxm2","4","C"
"08-5463","CWHxm1","4","C"
"08-5464","CWHxm1","3","C"
"08-5465","CWHxm2","4","D"
"08-5466","CWHxm2","2","C"
"08-5467","CWHxm2","5","D"
"08-5468","CWHmm1","2","D"
"08-5469","CWHmm1","2","C"
"08-5470","CWHvh2","4","C"
"08-5471","CWHvh2","1","B"
"08-5472","CWHvh2","2","B"
"08-5473","CWHvh2","5","C"
"08-5474","CWHvh2","0","B"
"08-5475","CWHvh2","5","B"
"08-5476","MHwh","3","C"
"08-5477","CWHvh2","5","D"
"08-5478","MHwh","3","C"
"08-5479","CWHmm2","3-2","C"
"08-5480","CWHmm1","5-6","D"
"08-5481","CWHxm2","4","C"
"08-5482","CWHxm2","6","D"
"08-5483","CDFmm",,
"08-5484","CWHmm2","3-4","C"
"08-5485","CWHds1","2-3","D"
"08-5486","MHmsp","4","C"
"08-5487","CWHds2","3","C"
"08-5488","CWHds2","5","D"
"08-5489","CWHvm2","2","R"
"08-5490","MHmm1","6","D"
"08-5491","MHmm1","4","C"
"08-5492","CWHws2","5","C"
"08-5493","CWHds2","5","C"
"08-5513","CWHxm2","1","C"
"08-5516","CWHms1","1","A"
"08-5517","CWHms1","0","A"
"08-5518","IDFww","4","C"
"08-5519","CWHds1","5","D"
"08-5521","CWHds1","2","C"
"08-5522","CWHds1","5","D"
"08-5523","CWHds1","5","D"
"08-5524","CWHds1","5","D"
"08-5525","CWHds1","5","D"
"08-5526","CWHds1","6","R"
"08-5527","CWHds1","2","C"
"08-5528","CWHdm","4","M"
"08-5529","CWHvh2","5","B"
"08-5530","CWHvh2","5","B"
"08-5531","CWHms1","3","C"
"08-5532","CWHms1","4","C"
"08-5533","CWHms1","1","A"
"08-5534","CWHds1","3","C"
"08-5535","IDFww","1","B"
"08-5536","IDFww","1","B"
"08-5537","CWHds1","3","B"
"08-5538","CWHms1","2","D"
"08-5539","CWHms1","2","B"
"08-5540","CWHds1","5","D"
"08-5541","CWHms1","3","D"
"08-5542","CWHms1","4","C"
"08-5543","CWHvh1","6","B"
"08-5544","CWHvm2","2","C"
"08-5545","CWHvm1","6","D"
"08-5546","CWHvh2","5","C"
"08-5547","CWHvh1","5","D"
"08-5548","CWHvm1","6","D"
"08-5549","CWHvh2","2","C"
"08-5550","CWHds1","3","B"
"08-5551","CWHms1","3","C"
"08-5552","IDFww","2","B"
"08-5553","IDFww","2","B"
"08-5554","CWHms1","2","B"
"08-5561","CWHdm","2","C"
"08-5562","CWHdm","3","C"
"08-7001","SBSmw","2","C"
"08-7002","SBSmw","2","B"
"08-7003","SBSmw","2","B"
"08-7005","SBSmw","5","D"
"08-7009","SBSmw","5","C"
"08-7010","SBSmw","5","C"
"08-7012","SBSmh","4","C"
"08-7013","SBSmw","6","D"
"08-7014","SBSmw","5","D"
"08-7018","ESSFmw2","3","C"
"08-7019","ESSFmw2","4","C"
"08-7024","ESSFdv1","2","B"
"08-7027","ESSFxv2","4","C"
"08-7028","ESSFxv2","2","C"
"08-7029","ESSFxv2","1","B"
"08-7030","ESSFxv2","6","D"
"08-7031","ESSFmw1","3","C"
"08-7032","ESSFdv1","1","B"
"08-7047","ESSFmk","4","C"
"08-7048","ESSFmk","6","C"
"08-7051","ESSFmc","1","B"
"08-7052","ESSFmw1","4","C"
"08-7053","ESSFwk2","6","C"
"08-7054","ESSFwk2","2","C"
"08-7055","ESSFwk2","4","C"
"08-7056","ESSFmv1","4","B"
"08-7057","ESSFmv1","6","D"
"08-7058","ESSFmv2","4","C"
"08-7059","ESSFmv2","5","D"
"08-7060","ESSFwv","5","D"
"08-7061","ESSFwv","3","C"
"08-7062","ESSFwv","5","E"
"08-7064","ESSFwv","6","B"
"08-7065","ESSFmc","4","C"
"08-7066","ESSFmm1","3","C"
"08-7067","ESSFmm1","6","D"
"08-7068","ESSFmm1","4","C"
"08-7069","ESSFmm1","1","B"
"08-7070","ESSFmm1","2","C"
"08-7075","ESSFmv4","5","B"
"08-7078","ESSFvc","5","D"
"08-7080","ESSFvc","6","C"
"08-7085","ESSFmc","6","C"
"08-7086","ESSFmv4","4","C"
"08-7095","ESSFdk2","6","D"
"08-7097","ESSFwk1","3","B"
"08-7098","ESSFwk1","4","C"
"08-7099","ESSFwk1","4","C"
"08-7251","SBSmw","5","C"
"08-7252","SBSmw","5","C"
"08-7253","SBSmw","5","B"
"08-7254","SBSmw","4","C"
"08-7255","SBSmw","3","C"
"08-7256","SBSmw","2","C"
"08-7257","SBSmw","6","E"
"08-7258","SBSmh","4","C"
"08-7259","SBSmw","5","C"
"08-7260","SBSmw","1","B"
"08-7261","SBSmw","5","C"
"08-7262","SBSmw","2","C"
"08-7263","SBSmw","6","C"
"08-7264","SBSmw","6","D"
"08-7265","SBSmw","4","b"
"08-7266","SBSmw","4","C"
"08-7267","SBSdw1","3","B"
"08-7268","SBSmw","6","D"
"08-7269","SBSdw2","3","B"
"08-7270","SBSdw1","6","D"
"08-7271","SBSmw","4","B"
"08-7272","SBSmw","4","C"
"08-7273","SBSmw","4","C"
"08-7274","SBSmw","4","B"
"08-7275","SBSmw","5","D"
"08-7323","BWBSdk1","5","D"
"08-7324","BWBSdk1","5","D"
"08-7326","BWBSdk1","3","C"
"08-7327","BWBSdk1","2","D"
"08-7328","BWBSdk1","3","C"
"08-7378","ICHwk4","3","C"
"08-7379","ICHwk4","3","C"
"08-7380","ESSFwk1","5","C"
"08-7381","ICHwk4","5","C"
"08-7382","ICHwk4","5","C"
"08-7383","ICHmk3","4","C"
"08-7384","ICHmk3","5","C"
"08-7385","ICHmk3","5","D"
"08-7386","ICHwk2","3","C"
"08-7387","ESSFwc3","4","C"
"08-7388","ESSFwc3","4","C"
"08-7389","ICHwk2","3","C"
"08-7390","ESSFwk1","5","D"
"08-7391","ESSFwk1","5","D"
"08-7392","ESSFwk1","3","C"
"08-7393","ICHwk4","3","C"
"08-7394","ICHwk4","5","C"
"08-7395","ICHwk4","5","C"
"08-7396","ICHwk4","3","B"
"08-7397","ESSFwk1","5","C"
"08-7398","ICHwk4","5","C"
"08-7399","ICHwk4","5","D"
"08-7400","ICHwk4","5","D"
"08-7401","SBSdw1","4","D"
"08-7402","SBSdw1","6","C"
"08-7403","SBSdw2","6","D"
"08-7404","SBSdw2","5","C"
"08-7405","SBSdw2","6","E"
"08-7406","SBSdw2","4","C"
"08-7407","SBSdw2","6","C"
"08-7408","SBSmh","3","C"
"08-7409","SBSmh","4","D"
"08-7410","SBSdw2","6","C"
"08-7411","SBSdw2","5","D"
"08-7412","SBSdw1","2","B"
"08-7413","SBSdw1","3","C"
"08-7414","SBSmh","3","C"
"08-7415","SBSmh","4","C"
"08-7416","SBSmw","6","D"
"08-7417","SBSmw","3","C"
"08-7418","SBSmh","3","C"
"08-7419","SBSmw","4","C"
"08-7420","SBSmh","2","C"
"08-7421","SBSmw","6","D"
"08-7422","SBSmh","2","B"
"08-7423","SBSmw","5","B"
"08-7424","SBSmh","4","D"
"08-7425","SBSmh","3","B"
"08-7426","SBSmh","3","B"
"08-7427","SBSmh","5","D"
"08-7428","SBSmh","3","B"
"08-7430","SBSdw1","3","B"
"08-7431","SBSmw","3","C"
"08-7432","SBSmw","2","B"
"08-7433","SBSdw2","3","B"
"08-7434","SBSdw2","6","D"
"08-7435","SBSdw2","6","D"
"08-7436","SBSmh","2","C"
"08-7437","SBSmh","3","B"
"08-7438","ESSFdk2","4","C"
"08-7439","SBSmw","3","C"
"08-7440","SBSmw","5","D"
"08-7441","SBSwk1","5","B"
"08-7442","SBSwk1","3","C"
"08-7443","SBSdw2","6","E"
"08-7444","SBSdw2","3","C"
"08-7445","SBSdw2","6","D"
"08-7446","SBSdw1","3","C"
"08-7447","SBSdw1","4","D"
"08-7448","SBSmw","3","C"
"08-7449","SBSdw2","3","C"
"08-7483","ESSFvc","4","C"
"08-7491","ESSFmv3","3","C"
"08-7497","SBSmh","4","C"
"08-7498","SBSmw","5","D"
"08-7500","SBSmh","4","C"
"08-7501","ESSFwcp","3","C"
"08-7502","ESSFwcp","4","C"
"08-7503","ESSFwcp","1","B"
"08-7504","IMAwc","0",
"08-7505","IMAwc","2","A"
"08-7506","IMAwc","7","D"
"08-7507","IMAwc","2","C"
"08-7508","IMAwc","4","C"
"08-7509","IMAwc","3","B"
"08-7510","ESSFwcp","6","D"
"08-7511","IMAwc","0","A"
"08-7512","IMAwc","2","C"
"08-7513","ESSFwcp","7","C"
"08-7768","ESSFmm1","2","A"
"08-7769","ESSFmm1","4","C"
"08-7770","CMAmm","3","C"
"08-7771","CMAmm","3","B"
"08-7772","CMAmm","1","B"
"08-7773","CMAmm","6","B"
"08-7774","MHwhp","0","A"
"08-7920","ESSFwm3","3","C"
"08-7921","ICHmk4","3","C"
"08-7922","ICHmw1","5","D"
"08-7923","ICHmw1","6","D"
"08-7924","ESSF","1","D"
"08-7933","ICHwk1","5","D"
"08-7935","ESSFwm3","6","D"
"08-7936","ESSFwm3","4","B"
"08-7937","ESSFwm2","5","C"
"08-7938","ESSFwm","6","D"
"08-7939","ESSFwm","5","D"
"08-7940","ICHmk4","4","C"
"08-7941","ESSF","3","C"
"08-7942","ESSFwc4","5","C"
"08-7943","ESSFwc4","4","C"
"08-7944","ICHvk1","1","B"
"08-7945","ESSFvcw","3","C"
"08-7946","ESSFvcw","2","C"
"08-7947","ESSFvc","5","D"
"08-7948","ESSFvc","4","D"
"08-7949","ESSFvc","3","C"
"08-7950","ESSFvc","4","C"
"08-7951","ICHvk1","4","C"
"08-7952","ESSF","6","D"
"08-7514","ESSFwcp","4","C"
"08-7515","ESSFwcp","4","D"
"08-7516","IMAwc","7","D"
"08-7517","IMAwc","4","C"
"08-7518","IMAwc","4","D"
"08-7519","ESSFwcp","4","C"
"08-7601","ESSFmcp","3+","C"
"08-7602","ESSFmcw","1","B"
"08-7603","ESSFMcw","4+","D-"
"08-7604","ESSFwvw","4","C+"
"08-7605","ESSFwvw","5","D"
"08-7606","ESSFwvw","3-","C"
"08-7607","ESSFmcp","3","C"
"08-7608","ESSFmcw","4-","C"
"08-7609","ESSFmcw","1-","A+"
"08-7610","ESSFwvw","3","B+"
"08-7611","ESSFwvu","1","A"
"08-7612","ESSFmcw","4","D"
"08-7613","ESSFmcw","6","C"
"08-7614","ESSFwvw","6.5","D"
"08-7615","ESSFwvw","3+","c-"
"08-7616","ESSFwvw","7","B"
"08-7617","ESSFwv","2+","B+"
"08-7618","ESSFwv","2+","B"
"08-7619","ESSFwvw","4","C-"
"08-7620","ESSFwvw","5","D"
"08-7621","ESSFwvp","4","C"
"08-7622","ESSFwvp","0+","A"
"08-7623","ESSFwvp","2","B"
"08-7624","ESSFwvp","2+","A"
"08-7625","ESSFmkw","4","C"
"08-7626","ESSFmk","3","B"
"08-7627","ESSFmk","1","A"
"08-7628","ESSFmkw","3+","C"
"08-7629","ESSFmkw","3+","B+"
"08-7630","ESSFmkw","4","C-"
"08-7631","ESSFmkw","2","B"
"08-7632","ESSFmkw","4-","B"
"08-7633","ESSFwvp","1","B"
"08-7634","ESSFwvw","4","C"
"08-7635","ESSFwvw","1-","A+"
"08-7636","ESSFmkw","4","B"
"08-7637","ESSFmkw","1+","B-"
"08-7638","ESSFmk","5","E"
"08-7639","ESSFmkw","3-","B"
"08-7640","ESSFmkw","1","B"
"08-7641","ESSFmkw","4+","C+"
"08-7642","ESSFmk","6+","D"
"08-7643","ESSFmkp","3","B"
"08-7644","ESSFmkw","4-","B"
"08-7645","ESSFmkw","4+","D"
"08-7646","ESSFmkw","6+","D"
"08-7647","MHmsw","2-","B"
"08-7648","MHmsw","3","B"
"08-7649","ESSFmsw","3","A"
"08-7650","ESSFwvw","3","B+"
"08-7701","BAFAmv","2","B"
"08-7702","BAFAmv","4","C"
"08-7703","BAFAmv","2","B"
"08-7704","BAFAmv","6","D"
"08-7705","BAFAmv","2","B"
"08-7706","BAFAmv","6","D"
"08-7707","BAFAmv",,
"08-7708","BAFAmv","1","B"
"08-7709","BAFAmv","4","C"
"08-7710","BAFAmv","4","B"
"08-7711","BAFAmv","6","E"
"08-7712","SWBmvs","5","D"
"08-7713","BAFAmv","5","C"
"08-7714","BAFAmv","2","C"
"08-7715","SWBmv","5","D"
"08-7716","SWBmv","6","E"
"08-7717","BAFAmv",,
"08-7718","SWBmvs","7","D"
"08-7719","SWBmks","5","E"
"08-7720","BAFAmks","2","C"
"08-7721","BAFAmks","5","C"
"08-7722","BAFAmk","5","D"
"08-7723","SWBmks","4","D"
"08-7724","BAFAmks","7","D"
"08-7725","BAFAmks","2","D"
"08-7726","BAFAmks","2","C"
"08-7727","BAFAmks","7","E"
"08-7728","BAFAmks","4","C"
"08-7741","BAFAmv","2","C"
"08-7742","BAFAmv","4","D"
"08-7743","BAFAmv","3","D"
"08-7744","BAFAmv","1","D"
"08-7745","BAFAmv","2","B"
"08-7746","BAFAmv","3","C"
"08-7747","BAFAmv","3","C"
"08-7748","SWBmvs","3","B"
"08-7749","SWBmv","5","D"
"08-7750","SWBmv","4","D"
"08-7751","SWBmvs","3","C"
"08-7752","ESSFmm1","5","D"
"08-7753","ESSFmm1","4","B"
"08-7754","IMA",,
"08-7755","ESSFmm1","2","A"
"08-7756","SBSdh1","1","A"
"08-7757","SBSdh1","3","B"
"08-7758","ESSFmm1","5","C"
"08-7759","ESSFmm1","6","D"
"08-7760","ESSFmm1","5","E"
"08-7761","ESSFmm1","3","A"
"08-7762","ESSFmm2","5","C"
"08-7763","ESSFmm2",,
"08-7764","ESSFmm2","4","C"
"08-7765","ESSFmm1","3","B"
"08-7766","SBSdv","5","D"
"08-7767","SBSdv","2","A"
"08-7775","MHwhp","4","C"
"08-7776","MHwhp","1","A"
"08-7777","MHwhp","4","C"
"08-7778","CWHvm2","0",
"08-7801","ESSFwc1","5","C"
"08-7802","ICHmw2","3","C"
"08-7803","ICHmw2","5","C"
"08-7805","ESSFdw","3","C"
"08-7806","ESSFdw","3","C"
"08-7807","ESSFdc1","5","D"
"08-7808","ESSFdc1","6","D"
"08-7809","ICHdw","7","D"
"08-7810","ICHdw","6","D"
"08-7811","ICHdw","3","B"
"08-7812","ESSFwc4","4","C"
"08-7813","ESSFwc4","2","C"
"08-7814","ESSFwc1","4","C"
"08-7815","ESSFwc4","2","C"
"08-7816","ESSFwc4","3","B"
"08-7817","ESSFwc4","3","C"
"08-7818","ESSFwc1","2","B"
"08-7819","ICHwk1","3","C"
"08-7820","ICHmk4","4","C"
"08-7821","ESSFwm","3","C"
"08-7822","ESSFwm","6","D"
"08-7823","ESSFwm","4","C"
"08-7824","ESSFwm","4","D"
"08-7825","ICHdm","5","D"
"08-7826","ESSFwm","6","D"
"08-7827","ESSFwm","5","C"
"08-7828","ESSFwm","4","C"
"08-7829","ESSFwm1","4","C"
"08-7830","ESSFwm1","3","C"
"08-7831","ESSFwm1","2","C"
"08-7832","ESSFwm1","5","C"
"08-7833","ESSFwmw","4","E"
"08-7834","ESSFwmw","2","D"
"08-7835","ESSFwmw","3","C"
"08-7836","ESSFwmw","5","D"
"08-7837","ESSFwm1","3","D"
"08-7838","ESSFwm1","2","D"
"08-7839","ESSFwm1","6","E"
"08-7840","ESSFwm1","5","E"
"08-7841","ESSFwm1","4","D"
"08-7842","ESSFwm1","3","C"
"08-7843","ESSFwm1","4","D"
"08-7844","ESSFwm1","2","D"
"08-7845","ESSFwm1","4","D"
"08-7846","ESSFwcw","1","B"
"08-7847","ESSFwc4","2","C"
"08-7848","ESSFwc1","1","C"
"08-7849","ESSFwc1","2","B"
"08-7850","ESSFwc1","4","C"
"08-7851","ESSFwc1","5","C"
"08-7852","ESSFwc1","4","C"
"08-7853","ICHwk1","6","D"
"08-7854","ICHwk1","3","C"
"08-7855","ESSFwc1","5","C"
"08-7856","ESSFwc4","4","D"
"08-7857","ESSFwc1","3","B"
"08-7858","ESSFwc1","2","B"
"08-7859","ESSFwm","4","C"
"08-7860","ESSFwm","3","B"
"08-7861","ICHmw2","2","C"
"08-7862","ICHdw","2","C"
"08-7863","ICHmw2","4","C"
"08-7864","ICHmw2","6","D"
"08-7865","ICHdw","2","C"
"08-7866","ESSFwcw","3","C"
"08-7867","ESSFwc4","3","B"
"08-7868","ESSFwc4","4","C"
"08-7869","ESSFwc1","1","A"
"08-7870","ESSFwc1","3","B"
"08-7871","ESSFwc1","3","B"
"08-7872","ESSFwc1","5","C"
"08-7873","ESSFwcw","3","C"
"08-7874","ESSFwcp","2","B"
"08-7875","ESSFwcw","6","D"
"08-7876","ESSFwc4","3","C"
"08-7877","ESSFwc4","4","B"
"08-7878","ESSFwc1","4","B"
"08-7879","ESSFwc1","5","D"
"08-7880","ESSFwcw","2","B"
"08-7881","ESSFwcw","3","B"
"08-7882","ESSFwc4","5","D"
"08-7883","ESSFwc4","1","B"
"08-7884","ESSFwc4","2","B"
"08-7885","ESSFwc4","4","B"
"08-7886","ESSFwc1","6","E"
"08-7887","ESSFwc1","5","D"
"08-7888","ESSFwc1","5","D"
"08-7889","ESSFwc4","3","B"
"08-7890","ESSFwc4","1","B"
"08-7891","ESSFwc4","5","C"
"08-7892","ESSFwc4","4","C"
"08-7893","ESSFwc1","6","D"
"08-7895","ESSFwc4","3","C"
"08-7896","ESSFdc1","3","C"
"08-7897","ESSFdc1","2","B"
"08-7898","ESSFdw","7","D"
"08-7899","ESSFdc1","4","C"
"08-7900","ESSFwc4","4","D"
"08-7901","ICHdm","4","C"
"08-7902","ICHmw1","4","C"
"08-7903","ICHmw1","3","D"
"08-7904","ICHmw1","6","D"
"08-7905","ESSFwm3","6","D"
"08-7906","ESSFwm3","4","C"
"08-7907","ESSFwm2","2","B"
"08-7908","ESSFwm3","2","B"
"08-7909","ICHmw1","3","D"
"08-7910","ICHmk4","3","D"
"08-7911","ESSFwc2","2","B"
"08-7912","ESSFwm2","5","C"
"08-7913","ESSFwc2","3","B"
"08-7914","ICHmw1","3","C"
"08-7915","ICHmw1","1","B"
"08-7916","ICHmw1","4","C"
"08-7917","ICHmw1","5","D"
"08-7918","ESSFwm3","4","D"
"08-7919","ESSFwm3","4","C"
"08-7953","ESSF","6","D"
"08-7954","ESSFvc","4","C"
"08-7955","ESSF","3","C"
"08-7956","ESSFvc","3","B"
"08-7957","ESSFvc","4","B"
"08-7958","ESSFvc","2","B"
"08-7959","ESSFvc","3","B"
"08-7960","ESSFvcw","2","B"
"08-7961","ESSFvcw","4","C"
"08-7962","ESSFvc","1","A"
"08-7963","ESSFvc","3","B"
"08-7964","ESSFvc","3","C"
"08-7965","ESSFvc","5","C"
"08-7966","ESSF","4","C"
"08-7967","ESSFwcw","2","C"
"08-7968","ESSFwc2","3","B"
"08-7969","ESSFwc2","2","B"
"08-7981","ESSFwm2","2","B"
"08-7982","ESSFwc1","1","B"
"08-7983","ESSFwm","5","D"
"08-7984","ESSFwm2","3","B"
"08-7985","ESSFwm2","3","C"
